v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors,x,y,Bit Substructure,Proportion in PICT,Proportion in TICT
PharmacoErGFP5,0.0001038,4.69E-05,PharmacoErGFP,#005dff,27,5,"('Donor', 'Donor', 6)",0.032520325,0.043052838
PharmacoErGFP7,0.000151974,8.45E-05,PharmacoErGFP,#005dff,28,5,"('Donor', 'Donor', 8)",0.035230352,0.046966732
PharmacoErGFP47,0.000103993,4.26E-05,PharmacoErGFP,#005dff,29,5,"('Donor', 'Positive', 6)",0.046070461,0.046966732
PharmacoErGFP48,0.000111992,-6.10E-09,PharmacoErGFP,#005dff,30,5,"('Donor', 'Positive', 7)",0.06504065,0.035225049
PharmacoErGFP290,0.000197966,-7.88E-05,PharmacoErGFP,#005dff,31,5,"('Positive', 'Hydrophobic', 18)",0.073170732,0.109589041
PharmacoErGFP150,0.000168435,-5.08E-05,PharmacoErGFP,#005dff,32,5,"('Acceptor', 'Positive', 4)",0.078590786,0.088062622
PharmacoErGFP51,3.44E-05,-4.04E-06,PharmacoErGFP,#005dff,33,5,"('Donor', 'Positive', 10)",0.005420054,0.01369863
PharmacoErGFP231,1.49E-05,2.32E-06,PharmacoErGFP,#005dff,34,5,"('Positive', 'Positive', 1)",0.002710027,0.011741683
PubChemFP115,0,0,PubChemFP,#8a00ff,35,5,>= 1 any ring size 3,0,0
PubChemFP824,2.58E-05,-5.28E-08,PubChemFP,#8a00ff,0,6,OC1C(O)CCCC1,0.021680217,0.017612524
PubChemFP590,0.000223264,7.06E-06,PubChemFP,#8a00ff,1,6,C-C:C-O-[#1],0.260162602,0.129158513
PubChemFP571,1.41E-05,-3.83E-05,PubChemFP,#8a00ff,2,6,[#1]-C-O-[#1],0.016260163,0.021526419
MACCSFP123,0.00024068,-0.000207754,MACCSFP,#00d3ff,3,6,"('[#8]~[#6]~[#8]', 0)",0.249322493,0.178082192
PubChemFP440,0.000386395,7.04E-05,PubChemFP,#8a00ff,4,6,C(-C)(-O)(=O),0.246612466,0.170254403
MACCSFP135,0.002434106,0.001503957,MACCSFP,#00d3ff,5,6,"('[#7]!:*:*', 0)",0.620596206,0.794520548
PubChemFP546,0.002921902,0.001136134,PubChemFP,#8a00ff,6,6,N-C:C-[#1],0.739837398,0.847358121
PubChemFP545,0.003009864,0.000967377,PubChemFP,#8a00ff,7,6,N-C:C-C,0.815718157,0.908023483
PubChemFP758,0.001065163,-0.001108903,PubChemFP,#8a00ff,8,6,Cc1c(N)cccc1,0.273712737,0.295499022
PubChemFP585,0.003421491,0.001959768,PubChemFP,#8a00ff,9,6,C-C:C-N-C,0.761517615,0.874755382
PubChemFP611,0.00079054,-0.000102921,PubChemFP,#8a00ff,10,6,N-C-C-N-C,0.154471545,0.170254403
PubChemFP569,0.000675614,3.14E-05,PubChemFP,#8a00ff,11,6,N-C-C-N,0.173441734,0.187866928
MACCSFP80,0.0015006,0.000358303,MACCSFP,#00d3ff,12,6,"('[#7]~*~*~*~[#7]', 0)",0.222222222,0.26223092
PubChemFP386,0.001348514,-2.04E-05,PubChemFP,#8a00ff,13,6,C(:C)(:C)(:N),0.303523035,0.270058708
PubChemFP397,0.00120623,0.000287595,PubChemFP,#8a00ff,14,6,N(~C)(:C)(:C),0.116531165,0.217221135
PubChemFP180,0.001121229,-8.84E-05,PubChemFP,#8a00ff,15,6,>= 1 saturated or aromatic nitrogen-containing ring size 6,0.20596206,0.270058708
MACCSFP98,0.002410311,-0.000103186,MACCSFP,#00d3ff,16,6,"('[!#6;!#1]1~*~*~*~*~*~1', 0)",0.579945799,0.514677104
PubChemFP385,0.001921663,-0.001929696,PubChemFP,#8a00ff,17,6,C(:C)(:C)(:C),0.485094851,0.375733855
PubChemFP755,0.001668879,0.000101473,PubChemFP,#8a00ff,18,6,Cc1c(C)cccc1,0.352303523,0.301369863
PubChemFP797,0.00159607,-0.000555014,PubChemFP,#8a00ff,19,6,CC1CC(C)CCC1,0.39295393,0.363992172
PubChemFP697,0.003566394,0.000487584,PubChemFP,#8a00ff,20,6,C-C-C-C-C-C(C)-C,0.715447154,0.684931507
PubChemFP710,0.003747209,0.000407543,PubChemFP,#8a00ff,21,6,C-C-C(C)-C-C,0.970189702,0.962818004
PubChemFP708,0.003520245,0.001046263,PubChemFP,#8a00ff,22,6,C-C(C)-C-C,0.970189702,0.968688845
PharmacoErGFP103,0.001236738,-7.15E-05,PharmacoErGFP,#005dff,23,6,"('Donor', 'Hydrophobic', 20)",0.422764228,0.254403131
PharmacoErGFP105,0.00113202,-0.000178757,PharmacoErGFP,#005dff,24,6,"('Donor', 'Aromatic', 1)",0.387533875,0.27592955
PharmacoErGFP104,0.00094361,0.00022244,PharmacoErGFP,#005dff,25,6,"('Donor', 'Hydrophobic', 21)",0.420054201,0.256360078
PharmacoErGFP26,0.000769103,0.000299998,PharmacoErGFP,#005dff,26,6,"('Donor', 'Acceptor', 6)",0.349593496,0.183953033
PharmacoErGFP27,0.000560253,-8.63E-06,PharmacoErGFP,#005dff,27,6,"('Donor', 'Acceptor', 7)",0.273712737,0.181996086
PharmacoErGFP8,0.000113076,7.19E-05,PharmacoErGFP,#005dff,28,6,"('Donor', 'Donor', 9)",0.037940379,0.037181996
PharmacoErGFP9,9.19E-05,7.19E-05,PharmacoErGFP,#005dff,29,6,"('Donor', 'Donor', 10)",0.024390244,0.02739726
PharmacoErGFP49,8.61E-05,-7.33E-06,PharmacoErGFP,#005dff,30,6,"('Donor', 'Positive', 8)",0.040650407,0.019569472
PharmacoErGFP50,5.09E-05,-1.47E-05,PharmacoErGFP,#005dff,31,6,"('Donor', 'Positive', 9)",0.027100271,0.011741683
PharmacoErGFP151,0.000102371,-4.78E-05,PharmacoErGFP,#005dff,32,6,"('Acceptor', 'Positive', 5)",0.043360434,0.052837573
PharmacoErGFP52,3.73E-05,0,PharmacoErGFP,#005dff,33,6,"('Donor', 'Positive', 11)",0.008130081,0.009784736
PharmacoErGFP232,7.27E-06,0,PharmacoErGFP,#005dff,34,6,"('Positive', 'Positive', 2)",0.002710027,0.009784736
MACCSFP22,0,0,MACCSFP,#00d3ff,35,6,"('*1~*~*~1', 0)",0,0
PubChemFP630,1.97E-05,-2.17E-05,PubChemFP,#8a00ff,0,7,O-C:C-O-C,0.032520325,0.025440313
PubChemFP663,1.69E-05,-6.51E-05,PubChemFP,#8a00ff,1,7,O-C-C-O-[#1],0.027100271,0.019569472
PubChemFP557,1.83E-05,0,PubChemFP,#8a00ff,2,7,N:C-O-[#1],0.002710027,0.001956947
PubChemFP649,0,0,PubChemFP,#8a00ff,3,7,O=N-C:C-O,0,0
PubChemFP452,0.00049808,-8.84E-05,PubChemFP,#8a00ff,4,7,C(-O)(=O),0.249322493,0.170254403
PubChemFP779,0.001583602,0.000590492,PubChemFP,#8a00ff,5,7,CC1CCC(N)CC1,0.574525745,0.663405088
PubChemFP737,0.000573904,-0.000431078,PubChemFP,#8a00ff,6,7,Cc1cc(N)ccc1,0.214092141,0.193737769
PubChemFP665,0.002777873,0.000759306,PubChemFP,#8a00ff,7,7,N-C:C-C-C,0.815718157,0.902152642
PubChemFP376,0.003482148,0.00032919,PubChemFP,#8a00ff,8,7,C(~N)(:C),0.826558266,0.909980431
PubChemFP495,0.003433683,0.000835275,PubChemFP,#8a00ff,9,7,C-N-C:C,0.761517615,0.876712329
PubChemFP657,0.004324632,0.001814883,PubChemFP,#8a00ff,10,7,C-N-C:C-C,0.761517615,0.874755382
MACCSFP79,0.001150779,-0.000136682,MACCSFP,#00d3ff,11,7,"('[#7]~*~*~[#7]', 0)",0.211382114,0.195694716
MACCSFP75,0.002538806,0.000477966,MACCSFP,#00d3ff,12,7,"('*!@[#7]@*', 0)",0.322493225,0.4481409
MACCSFP85,0.004153907,0.001014222,MACCSFP,#00d3ff,13,7,"('[#6]~[#7](~[#6])~[#6]', 0)",0.620596206,0.810176125
MACCSFP121,0.003644167,0.000864462,MACCSFP,#00d3ff,14,7,"('[#7;R]', 0)",0.628726287,0.684931507
MACCSFP120,0.0031275,-0.001353651,MACCSFP,#00d3ff,15,7,"('[!#6;R]', 1)",0.566395664,0.528375734
PubChemFP16,0.000214484,0.000116226,PubChemFP,#8a00ff,16,7,>= 4 N,0.024390244,0.04109589
MACCSFP105,0.003374758,-0.000964829,MACCSFP,#00d3ff,17,7,"('*@*(@*)@*', 0)",0.821138211,0.675146771
PharmacoErGFP400,0.003664801,-0.000461206,PharmacoErGFP,#005dff,18,7,"('Hydrophobic', 'Aromatic', 2)",0.821138211,0.673189824
PubChemFP430,0.004297673,0.000270138,PubChemFP,#8a00ff,19,7,C(-C)(-C)(=C),0.970189702,0.970645793
PubChemFP333,0.004696673,0.00144167,PubChemFP,#8a00ff,20,7,C(~C)(~C)(~C),0.972899729,0.974559687
PubChemFP356,0.004575066,0.002075674,PubChemFP,#8a00ff,21,7,C(~C)(:C)(:C),0.967479675,0.964774951
PubChemFP595,0.004123978,0.001383397,PubChemFP,#8a00ff,22,7,C:C-C-C-C,0.994579946,0.98630137
PubChemFP520,0.003768007,0.00044399,PubChemFP,#8a00ff,23,7,C=C-C:C,0.994579946,0.988258317
PharmacoErGFP106,0.001262283,6.48E-05,PharmacoErGFP,#005dff,24,7,"('Donor', 'Aromatic', 2)",0.346883469,0.254403131
PharmacoErGFP107,0.000933235,0.000214665,PharmacoErGFP,#005dff,25,7,"('Donor', 'Aromatic', 3)",0.257452575,0.191780822
PharmacoErGFP108,0.000664168,5.19E-05,PharmacoErGFP,#005dff,26,7,"('Donor', 'Aromatic', 4)",0.192411924,0.135029354
PharmacoErGFP28,0.000440763,0.0001064,PharmacoErGFP,#005dff,27,7,"('Donor', 'Acceptor', 8)",0.20596206,0.136986301
PharmacoErGFP29,0.000406907,-9.72E-05,PharmacoErGFP,#005dff,28,7,"('Donor', 'Acceptor', 9)",0.195121951,0.107632094
PharmacoErGFP10,2.97E-05,3.17E-05,PharmacoErGFP,#005dff,29,7,"('Donor', 'Donor', 11)",0.021680217,0.011741683
PharmacoErGFP291,0.000175294,-1.74E-05,PharmacoErGFP,#005dff,30,7,"('Positive', 'Hydrophobic', 19)",0.048780488,0.090019569
PharmacoErGFP292,0.00012493,-2.65E-05,PharmacoErGFP,#005dff,31,7,"('Positive', 'Hydrophobic', 20)",0.035230352,0.064579256
PharmacoErGFP152,0.000103092,-6.91E-05,PharmacoErGFP,#005dff,32,7,"('Acceptor', 'Positive', 6)",0.029810298,0.04109589
PharmacoErGFP153,8.69E-05,-3.38E-05,PharmacoErGFP,#005dff,33,7,"('Acceptor', 'Positive', 7)",0.035230352,0.033268102
PharmacoErGFP233,7.86E-06,0,PharmacoErGFP,#005dff,34,7,"('Positive', 'Positive', 3)",0.002710027,0.007827789
PubChemFP118,0,0,PubChemFP,#8a00ff,35,7,>= 1 saturated or aromatic heteroatom-containing ring size 3,0,0
PubChemFP761,2.59E-05,-2.89E-05,PubChemFP,#8a00ff,0,8,Oc1c(O)cccc1,0.021680217,0.017612524
PubChemFP662,7.23E-05,-5.00E-05,PubChemFP,#8a00ff,1,8,O-C-C-O-C,0.040650407,0.037181996
PubChemFP587,2.05E-05,-1.46E-06,PubChemFP,#8a00ff,2,8,N-C:C-O-[#1],0.005420054,0.015655577
PubChemFP543,2.94E-05,-3.97E-05,PubChemFP,#8a00ff,3,8,O-C:C-N,0.021680217,0.023483366
PubChemFP622,0.00030518,0.000527106,PubChemFP,#8a00ff,4,8,O=C-O-C:C,0.151761518,0.074363992
MACCSFP23,8.81E-06,0,MACCSFP,#00d3ff,5,8,"('[#7]~[#6](~[#8])~[#8]', 0)",0.002710027,0.001956947
PubChemFP800,0.000693802,-0.000410182,PubChemFP,#8a00ff,6,8,CC1CC(N)CCC1,0.224932249,0.197651663
MACCSFP133,0.003945441,0.002749117,MACCSFP,#00d3ff,7,8,"('*@*!@[#7]', 0)",0.520325203,0.72407045
PubChemFP449,0.003933048,0.001608297,PubChemFP,#8a00ff,8,8,C(-N)(=C),0.823848238,0.933463796
PubChemFP628,0.003160808,0.000289569,PubChemFP,#8a00ff,9,8,C-N-C-C:C,0.791327913,0.884540117
PubChemFP613,0.004085056,0.001048394,PubChemFP,#8a00ff,10,8,C-N-C-C-C,0.802168022,0.900195695
PubChemFP390,0.00466934,0.001663334,PubChemFP,#8a00ff,11,8,N(~C)(~C),0.829268293,0.939334638
PubChemFP540,0.004261268,0.001618413,PubChemFP,#8a00ff,12,8,C-N-C-[#1],0.588075881,0.741682975
MACCSFP122,0.005295155,0.002489018,MACCSFP,#00d3ff,13,8,"('*~[#7](~*)~*', 0)",0.661246612,0.876712329
PubChemFP391,0.004437983,0.001487288,PubChemFP,#8a00ff,14,8,N(~C)(~C)(~C),0.620596206,0.810176125
MACCSFP137,0.003960847,0.000324668,MACCSFP,#00d3ff,15,8,"('[!C;!c;R]', 0)",0.829268293,0.782778865
PharmacoErGFP201,0.005264071,0.000200774,PharmacoErGFP,#005dff,16,8,"('Acceptor', 'Hydrophobic', 13)",0.989159892,0.964774951
MACCSFP101,0.003423042,-0.000149151,MACCSFP,#00d3ff,17,8,"('[$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1)]', 0)",0.821138211,0.673189824
MACCSFP62,0.003156,0.001280623,MACCSFP,#00d3ff,18,8,"('*@*!@*@*', 0)",0.444444444,0.481409002
PharmacoErGFP401,0.003656301,-0.00057143,PharmacoErGFP,#005dff,19,8,"('Hydrophobic', 'Aromatic', 3)",0.89701897,0.790606654
PharmacoErGFP402,0.00430169,0.000220987,PharmacoErGFP,#005dff,20,8,"('Hydrophobic', 'Aromatic', 4)",0.913279133,0.888454012
PubChemFP608,0.00377454,0.000271482,PubChemFP,#8a00ff,21,8,C-C-C-C:C,0.994579946,0.98630137
PubChemFP564,0.003839909,0.000692245,PubChemFP,#8a00ff,22,8,C=C-C=C,0.997289973,0.994129159
PubChemFP677,0.003868035,0.000861774,PubChemFP,#8a00ff,23,8,C-C=C-C:C,0.994579946,0.98630137
PharmacoErGFP206,0.002977099,0.000569654,PharmacoErGFP,#005dff,24,8,"('Acceptor', 'Hydrophobic', 18)",0.823848238,0.829745597
PharmacoErGFP127,0.001588398,0.000496295,PharmacoErGFP,#005dff,25,8,"('Acceptor', 'Acceptor', 2)",0.555555556,0.491193738
PharmacoErGFP128,0.001381082,0.000552151,PharmacoErGFP,#005dff,26,8,"('Acceptor', 'Acceptor', 3)",0.463414634,0.428571429
PharmacoErGFP109,0.000395809,-4.67E-05,PharmacoErGFP,#005dff,27,8,"('Donor', 'Aromatic', 5)",0.146341463,0.113502935
PharmacoErGFP30,0.000323368,0.000120055,PharmacoErGFP,#005dff,28,8,"('Donor', 'Acceptor', 10)",0.143631436,0.066536204
PharmacoErGFP31,0.000167604,-6.37E-05,PharmacoErGFP,#005dff,29,8,"('Donor', 'Acceptor', 11)",0.092140921,0.046966732
PharmacoErGFP11,6.36E-06,5.23E-05,PharmacoErGFP,#005dff,30,8,"('Donor', 'Donor', 12)",0.008130081,0.009784736
PharmacoErGFP12,1.90E-05,-2.56E-05,PharmacoErGFP,#005dff,31,8,"('Donor', 'Donor', 13)",0.013550136,0.007827789
PharmacoErGFP53,1.10E-05,0,PharmacoErGFP,#005dff,32,8,"('Donor', 'Positive', 12)",0.010840108,0.005870841
PharmacoErGFP154,3.95E-05,-1.72E-05,PharmacoErGFP,#005dff,33,8,"('Acceptor', 'Positive', 8)",0.024390244,0.025440313
PharmacoErGFP234,9.13E-06,0,PharmacoErGFP,#005dff,34,8,"('Positive', 'Positive', 4)",0.002710027,0.005870841
PubChemFP116,0,0,PubChemFP,#8a00ff,35,8,>= 1 saturated or aromatic carbon-only ring size 3,0,0
PubChemFP735,0.000148638,7.33E-05,PubChemFP,#8a00ff,0,9,Cc1cc(O)ccc1,0.151761518,0.068493151
PubChemFP567,4.92E-05,-2.06E-05,PubChemFP,#8a00ff,1,9,O-C-C-O,0.046070461,0.043052838
MACCSFP72,0.00011829,-6.62E-05,MACCSFP,#00d3ff,2,9,"('[#8]~*~*~[#8]', 0)",0.054200542,0.045009785
PubChemFP763,6.28E-05,-1.95E-05,PubChemFP,#8a00ff,3,9,Oc1c(N)cccc1,0.01897019,0.023483366
PubChemFP497,2.30E-05,-2.22E-05,PubChemFP,#8a00ff,4,9,O-C:C:N,0.01897019,0.007827789
PubChemFP559,1.91E-06,0,PubChemFP,#8a00ff,5,9,O-C-N-[#1],0.002710027,0.001956947
PubChemFP716,0.002288256,0.001106118,PubChemFP,#8a00ff,6,9,Cc1ccc(N)cc1,0.563685637,0.661448141
PubChemFP437,0.003232095,0.000907085,PubChemFP,#8a00ff,7,9,C(-C)(-N)(=C),0.818428184,0.913894325
PubChemFP633,0.003885889,0.001168384,PubChemFP,#8a00ff,8,9,N-C-C:C-C,0.840108401,0.917808219
PubChemFP464,0.004156147,0.000842264,PubChemFP,#8a00ff,9,9,N-C-C=C,0.853658537,0.941291585
PubChemFP656,0.004291513,0.002286637,PubChemFP,#8a00ff,10,9,C-C-N-C-C,0.682926829,0.784735812
MACCSFP142,0.004106279,0.001717479,MACCSFP,#00d3ff,11,9,"('[#7]', 1)",0.615176152,0.749510763
PubChemFP365,0.004614771,0.001713038,PubChemFP,#8a00ff,12,9,C(~H)(~N),0.620596206,0.778864971
MACCSFP119,0.001717429,0.001504379,MACCSFP,#00d3ff,13,9,"('[#7]=*', 0)",0.143631436,0.268101761
PubChemFP15,0.002518541,0.000797811,PubChemFP,#8a00ff,14,9,>= 2 N,0.371273713,0.483365949
MACCSFP148,0.0062304,0.002998571,MACCSFP,#00d3ff,15,9,"('*~[!#6;!#1](~*)~*', 0)",0.674796748,0.894324853
PharmacoErGFP203,0.005095533,5.43E-05,PharmacoErGFP,#005dff,16,9,"('Acceptor', 'Hydrophobic', 15)",0.959349593,0.870841487
PharmacoErGFP204,0.004850456,8.58E-05,PharmacoErGFP,#005dff,17,9,"('Acceptor', 'Hydrophobic', 16)",0.940379404,0.851272016
PubChemFP384,0.005091756,0.00115385,PubChemFP,#8a00ff,18,9,C(:C)(:C),0.994579946,0.988258317
PubChemFP640,0.004625206,0.001004616,PubChemFP,#8a00ff,19,9,C=C-C-C-C,1,0.996086106
PubChemFP679,0.005000898,0.000460682,PubChemFP,#8a00ff,20,9,C-C-C-C-C-C,1,0.98630137
PubChemFP668,0.004197006,0.000859018,PubChemFP,#8a00ff,21,9,C-C:C-C-C,0.997289973,0.98630137
PubChemFP470,0.004344643,0.001341416,PubChemFP,#8a00ff,22,9,C:C-C=C,0.994579946,0.988258317
PubChemFP584,0.003782483,0.000446999,PubChemFP,#8a00ff,23,9,C:C-C=C-C,0.994579946,0.98630137
PubChemFP257,0.003231131,-0.000244851,PubChemFP,#8a00ff,24,9,>= 2 aromatic rings,0.894308943,0.909980431
PharmacoErGFP208,0.001998028,-6.78E-05,PharmacoErGFP,#005dff,25,9,"('Acceptor', 'Hydrophobic', 20)",0.636856369,0.602739726
PharmacoErGFP129,0.001201094,-0.000305604,PharmacoErGFP,#005dff,26,9,"('Acceptor', 'Acceptor', 4)",0.401084011,0.336594912
PharmacoErGFP130,0.000759122,0.000227109,PharmacoErGFP,#005dff,27,9,"('Acceptor', 'Acceptor', 5)",0.284552846,0.244618395
PharmacoErGFP131,0.000423349,2.12E-05,PharmacoErGFP,#005dff,28,9,"('Acceptor', 'Acceptor', 6)",0.208672087,0.176125245
PharmacoErGFP32,0.000153311,2.13E-05,PharmacoErGFP,#005dff,29,9,"('Donor', 'Acceptor', 12)",0.062330623,0.043052838
PharmacoErGFP293,5.01E-05,6.16E-05,PharmacoErGFP,#005dff,30,9,"('Positive', 'Hydrophobic', 21)",0.016260163,0.043052838
PharmacoErGFP13,8.70E-06,-1.35E-05,PharmacoErGFP,#005dff,31,9,"('Donor', 'Donor', 14)",0.008130081,0.005870841
PharmacoErGFP14,3.22E-05,1.76E-05,PharmacoErGFP,#005dff,32,9,"('Donor', 'Donor', 15)",0.008130081,0.007827789
PharmacoErGFP54,2.19E-05,3.34E-05,PharmacoErGFP,#005dff,33,9,"('Donor', 'Positive', 13)",0.005420054,0.005870841
PharmacoErGFP235,6.70E-06,0,PharmacoErGFP,#005dff,34,9,"('Positive', 'Positive', 5)",0.002710027,0.003913894
MACCSFP16,0,0,MACCSFP,#00d3ff,35,9,"('[!#6;!#1]1~*~*~1', 0)",0,0
PubChemFP699,0.000203473,0.000107985,PubChemFP,#8a00ff,0,10,O-C-C-C-C-C(C)-C,0.254742547,0.133072407
PubChemFP798,0.00014958,0.000105441,PubChemFP,#8a00ff,1,10,CC1CC(O)CCC1,0.154471545,0.068493151
MACCSFP109,0.000143015,2.00E-05,MACCSFP,#00d3ff,2,10,"('*~[CH2]~[#8]', 0)",0.067750678,0.093933464
PubChemFP826,3.21E-05,4.32E-06,PubChemFP,#8a00ff,3,10,OC1C(N)CCCC1,0.01897019,0.023483366
PubChemFP492,1.44E-05,0,PubChemFP,#8a00ff,4,10,N-C:O:C,0.013550136,0.003913894
PubChemFP612,2.33E-05,0,PubChemFP,#8a00ff,5,10,N-C-O-C-C,0.013550136,0.005870841
PubChemFP286,0.002093752,-8.87E-05,PubChemFP,#8a00ff,6,10,C-O,0.791327913,0.624266145
PubChemFP607,0.003502839,0.001454494,PubChemFP,#8a00ff,7,10,N-C-C-C:C,0.840108401,0.919765166
PubChemFP549,0.003622465,0.000774138,PubChemFP,#8a00ff,8,10,N-C-C:C,0.840108401,0.919765166
PubChemFP592,0.003576653,0.001446943,PubChemFP,#8a00ff,9,10,N-C-C-C-C,0.850948509,0.927592955
PubChemFP338,0.000138438,-0.000120854,PubChemFP,#8a00ff,10,10,C(~C)(~C)(~H)(~N),0.027100271,0.043052838
PubChemFP345,0.002541043,0.000389834,PubChemFP,#8a00ff,11,10,C(~C)(~H)(~N),0.455284553,0.545988258
MACCSFP161,0.005662964,0.001824844,MACCSFP,#00d3ff,12,10,"('[#7]', 0)",0.913279133,0.976516634
MACCSFP78,0.001476669,0.001750583,MACCSFP,#00d3ff,13,10,"('[#6]=[#7]', 0)",0.124661247,0.236790607
PharmacoErGFP120,0.002154274,-0.000358158,PharmacoErGFP,#005dff,14,10,"('Donor', 'Aromatic', 16)",0.379403794,0.350293542
PharmacoErGFP200,0.0049914,0.00085573,PharmacoErGFP,#005dff,15,10,"('Acceptor', 'Hydrophobic', 12)",0.967479675,0.954990215
PharmacoErGFP202,0.00474919,0.000513476,PharmacoErGFP,#005dff,16,10,"('Acceptor', 'Hydrophobic', 14)",0.989159892,0.968688845
PubChemFP255,0.005170576,0.001005051,PubChemFP,#8a00ff,17,10,>= 1 aromatic ring,0.997289973,0.988258317
PubChemFP355,0.005095249,0.001172536,PubChemFP,#8a00ff,18,10,C(~C)(:C),0.997289973,0.988258317
PharmacoErGFP205,0.004181322,-0.000356488,PharmacoErGFP,#005dff,19,10,"('Acceptor', 'Hydrophobic', 17)",0.894308943,0.870841487
PubChemFP570,0.00448505,0.000768687,PubChemFP,#8a00ff,20,10,C:C-C-C,0.997289973,0.988258317
PubChemFP634,0.004096786,-1.64E-06,PubChemFP,#8a00ff,21,10,C-C-C:C-C,0.997289973,0.98630137
PubChemFP552,0.004327926,0.000836516,PubChemFP,#8a00ff,22,10,C:C-C:C,0.994579946,0.988258317
PharmacoErGFP403,0.00302639,0.000456095,PharmacoErGFP,#005dff,23,10,"('Hydrophobic', 'Aromatic', 5)",0.829268293,0.843444227
MACCSFP125,0.003775287,0.001524379,MACCSFP,#00d3ff,24,10,"('?', 0)",0.894308943,0.909980431
PharmacoErGFP207,0.002254751,0.000158605,PharmacoErGFP,#005dff,25,10,"('Acceptor', 'Hydrophobic', 19)",0.734417344,0.757338552
PharmacoErGFP209,0.00166882,0.000627084,PharmacoErGFP,#005dff,26,10,"('Acceptor', 'Hydrophobic', 21)",0.485094851,0.528375734
PharmacoErGFP110,0.000328499,1.27E-05,PharmacoErGFP,#005dff,27,10,"('Donor', 'Aromatic', 6)",0.100271003,0.082191781
PharmacoErGFP132,0.000410628,0.000103539,PharmacoErGFP,#005dff,28,10,"('Acceptor', 'Acceptor', 7)",0.140921409,0.14481409
PharmacoErGFP133,0.000174106,3.94E-05,PharmacoErGFP,#005dff,29,10,"('Acceptor', 'Acceptor', 8)",0.078590786,0.101761252
PharmacoErGFP134,0.000186044,-1.86E-05,PharmacoErGFP,#005dff,30,10,"('Acceptor', 'Acceptor', 9)",0.070460705,0.086105675
PharmacoErGFP34,5.09E-05,-8.26E-05,PharmacoErGFP,#005dff,31,10,"('Donor', 'Acceptor', 14)",0.035230352,0.029354207
PharmacoErGFP155,1.63E-05,-7.08E-06,PharmacoErGFP,#005dff,32,10,"('Acceptor', 'Positive', 9)",0.010840108,0.019569472
PharmacoErGFP55,9.11E-06,1.55E-05,PharmacoErGFP,#005dff,33,10,"('Donor', 'Positive', 14)",0.002710027,0.005870841
PharmacoErGFP15,1.41E-05,0,PharmacoErGFP,#005dff,34,10,"('Donor', 'Donor', 16)",0.002710027,0.007827789
PubChemFP122,0,0,PubChemFP,#8a00ff,35,10,>= 2 any ring size 3,0,0
MACCSFP113,0.00049033,1.65E-05,MACCSFP,#00d3ff,0,11,"('[#8]!:*:*', 0)",0.493224932,0.338551859
PubChemFP382,0.000464094,8.44E-05,PubChemFP,#8a00ff,1,11,C(~O)(:C)(:C),0.509485095,0.344422701
PubChemFP339,2.20E-05,-1.42E-06,PubChemFP,#8a00ff,2,11,C(~C)(~C)(~H)(~O),0.01897019,0.023483366
MACCSFP157,0.000916697,0.000585718,MACCSFP,#00d3ff,3,11,"('[#6]-[#8]', 0)",0.501355014,0.403131115
PubChemFP566,0.000120158,-6.50E-05,PubChemFP,#8a00ff,4,11,O-C-C-N,0.054200542,0.062622309
MACCSFP95,0.000264899,0.000124516,MACCSFP,#00d3ff,5,11,"('[#7]~*~*~[#8]', 0)",0.078590786,0.107632094
PubChemFP352,0.002058716,9.50E-05,PubChemFP,#8a00ff,6,11,C(~C)(~O),0.788617886,0.622309198
PubChemFP19,0.00162009,0.000609526,PubChemFP,#8a00ff,7,11,>= 2 O,0.495934959,0.405088063
PubChemFP340,0.003561965,0.001187042,PubChemFP,#8a00ff,8,11,C(~C)(~C)(~N),0.840108401,0.923679061
PubChemFP683,0.004380831,0.001732389,PubChemFP,#8a00ff,9,11,N-C-C-C-C-C,0.848238482,0.925636008
MACCSFP158,0.005578229,0.003378408,MACCSFP,#00d3ff,10,11,"('[#6]-[#7]', 0)",0.72899729,0.919765166
PubChemFP285,0.004831949,0.001668608,PubChemFP,#8a00ff,11,11,C-N,0.913279133,0.976516634
PharmacoErGFP122,0.004831001,0.001803837,PharmacoErGFP,#005dff,12,11,"('Donor', 'Aromatic', 18)",0.693766938,0.66927593
PharmacoErGFP121,0.002662033,0.000798017,PharmacoErGFP,#005dff,13,11,"('Donor', 'Aromatic', 17)",0.452574526,0.450097847
PubChemFP332,0.005554429,0.001422923,PubChemFP,#8a00ff,14,11,C(~C)(~C),1,1
MACCSFP165,0.006179653,0.002095358,MACCSFP,#00d3ff,15,11,"('[R]', 0)",1,1
